person_age,person_gender,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_home_ownership_1,person_home_ownership_2,person_home_ownership_3,person_home_ownership_4,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_status
21,1,0,14858,0,2000,11.12,0.13,3,589,0,0,0,0,1,0,0,0,1,0,0,1
25,1,2,144855,1,32000,6.62,0.22,2,586,1,0,1,0,0,0,0,0,0,0,1,0
26,1,2,114645,2,31050,14.17,0.27,3,681,0,0,1,0,0,0,0,1,0,0,0,1
25,0,0,368115,3,24250,13.85,0.07,3,567,1,0,1,0,0,1,0,0,0,0,0,0
26,0,1,361076,1,7800,13.49,0.02,4,669,0,0,0,1,0,0,0,0,1,0,0,0
21,1,1,15150,0,2500,7.51,0.17,4,600,0,0,0,0,1,0,1,0,0,0,0,1
22,0,2,58868,0,30000,18.39,0.51,2,606,0,0,1,0,0,0,1,0,0,0,0,1
24,1,0,78026,3,30000,14.54,0.38,3,582,0,0,1,0,0,1,0,0,0,0,0,1
25,1,2,90785,4,30000,16.89,0.33,4,649,0,0,1,0,0,0,0,1,0,0,0,1
23,0,0,86811,0,30000,11.01,0.35,4,602,0,0,1,0,0,1,0,0,0,0,0,1
26,1,2,75503,5,30000,17.99,0.4,2,616,0,0,1,0,0,0,0,0,1,0,0,1
24,0,0,15082,0,2500,12.69,0.17,3,631,0,0,0,0,1,0,0,0,0,0,1,1
26,1,2,361293,5,20000,7.88,0.06,4,684,1,0,0,1,0,0,0,0,0,0,1,0
23,1,0,361547,0,24250,19.41,0.07,2,637,1,0,0,0,1,0,1,0,0,0,0,0
26,1,3,360680,5,10000,10.38,0.03,4,649,0,0,0,0,1,0,0,1,0,0,0,0
26,1,2,360977,5,25000,15.33,0.07,3,695,1,0,0,1,0,0,1,0,0,0,0,0
25,0,2,361244,2,18000,16.45,0.05,3,620,0,0,0,1,0,0,0,1,0,0,0,0
26,1,2,98230,2,30000,7.49,0.31,3,622,0,0,1,0,0,0,0,0,0,1,0,1
22,0,0,80838,0,30000,12.69,0.37,3,645,0,0,1,0,0,0,0,0,1,0,0,1
26,1,3,107957,2,30000,6.62,0.28,3,654,0,0,1,0,0,1,0,0,0,0,0,1
24,0,2,94649,2,30000,11.01,0.32,4,624,0,0,1,0,0,1,0,0,0,0,0,1
23,1,0,94550,1,30000,18.62,0.32,3,570,0,0,1,0,0,1,0,0,0,0,0,1
23,1,2,111153,3,30000,15.23,0.27,3,648,0,0,1,0,0,0,0,0,0,1,0,1
23,0,1,117250,0,30000,10.65,0.26,2,652,0,0,1,0,0,0,0,0,0,0,1,1
25,1,2,144985,3,30000,7.9,0.21,4,559,0,0,1,0,0,0,1,0,0,0,0,0
26,1,0,337133,7,10000,15.96,0.03,3,623,1,0,1,0,0,0,0,0,0,1,0,0
26,1,1,333566,2,20000,11.48,0.06,3,602,1,0,1,0,0,0,0,0,0,0,1,0
23,1,2,333399,1,35000,11.01,0.1,4,609,0,0,0,0,1,0,0,0,0,1,0,0
25,1,3,154793,1,30000,7.29,0.19,4,573,1,0,1,0,0,0,0,0,0,1,0,0
24,1,1,15229,1,1750,11.01,0.11,3,631,1,0,0,0,1,0,0,0,0,0,1,0
21,0,2,158338,0,30000,5.99,0.19,4,623,1,0,1,0,0,0,0,0,0,0,1,0
22,0,2,331034,0,12000,11.58,0.04,2,602,1,0,0,0,1,0,0,0,0,0,1,0
26,0,0,316466,6,10000,11.01,0.03,4,579,0,0,0,1,0,0,1,0,0,0,0,1
25,0,1,267671,0,25000,15.7,0.09,2,582,0,0,0,1,0,0,0,0,1,0,0,1
22,1,3,85191,0,29100,15.99,0.34,3,700,0,0,1,0,0,0,1,0,0,0,0,1
22,1,1,15013,0,1500,14.84,0.1,3,688,0,0,0,1,0,0,1,0,0,0,0,0
26,1,2,313100,3,28000,10.99,0.09,3,607,1,0,0,0,1,0,0,1,0,0,0,0
25,0,2,311952,0,20000,14.42,0.06,2,661,1,0,0,1,0,0,0,1,0,0,0,0
24,1,0,306897,5,9600,6.99,0.03,2,562,1,0,0,1,0,0,1,0,0,0,0,0
25,0,2,301136,0,25000,13.49,0.08,4,664,1,0,1,0,0,0,0,0,1,0,0,0
25,1,0,15162,1,3000,11.01,0.2,3,564,0,0,0,0,1,0,0,0,1,0,0,1
22,1,1,69042,0,28000,11.01,0.41,2,598,0,0,1,0,0,0,0,0,1,0,0,1
21,0,0,15307,0,3000,13.61,0.2,3,557,0,0,0,0,1,0,1,0,0,0,0,1
23,0,1,79183,0,28000,7.9,0.35,2,677,0,0,1,0,0,0,1,0,0,0,0,1
26,1,2,102654,4,28000,7.49,0.27,3,690,0,0,1,0,0,0,0,0,0,0,1,1
26,1,1,15229,1,6100,7.51,0.4,3,599,0,0,0,0,1,0,1,0,0,0,0,1
22,1,0,106566,0,28000,9.91,0.26,3,604,0,0,1,0,0,0,0,0,0,0,1,1
21,0,2,15252,0,4200,13.48,0.28,4,663,0,0,0,0,1,0,0,0,0,1,0,1
22,1,2,15432,3,4750,7.14,0.31,2,601,0,0,0,0,1,1,0,0,0,0,0,1
24,1,0,100332,1,28000,15.99,0.28,4,634,0,0,1,0,0,0,0,0,0,0,1,1
24,1,2,300951,2,18000,12.98,0.06,3,671,0,0,1,0,0,0,1,0,0,0,0,0
144,1,2,300616,125,4800,13.57,0.02,3,789,0,0,1,0,0,0,0,0,0,0,1,0
25,0,2,121062,1,28000,12.69,0.23,3,622,0,0,1,0,0,1,0,0,0,0,0,0
26,1,1,133372,1,28000,8.9,0.21,2,538,1,0,1,0,0,0,1,0,0,0,0,0
26,1,2,15505,0,2700,11.01,0.17,4,587,0,0,0,0,1,1,0,0,0,0,0,1
22,1,3,130852,0,28000,11.01,0.21,4,683,0,0,1,0,0,0,1,0,0,0,0,1
23,1,1,182316,0,28000,11.11,0.15,2,634,1,0,1,0,0,1,0,0,0,0,0,0
24,0,2,83853,3,27600,11.01,0.33,2,690,0,0,1,0,0,0,0,1,0,0,0,1
21,0,2,15394,0,3250,15.68,0.21,3,518,0,0,0,1,0,1,0,0,0,0,0,1
22,0,2,85243,0,27500,13.06,0.32,3,583,0,0,1,0,0,0,1,0,0,0,0,1
22,1,1,288907,2,25000,11.01,0.09,2,617,1,0,0,0,1,0,0,0,0,1,0,0
26,1,1,89074,4,27050,15.62,0.3,2,668,0,0,1,0,0,0,0,0,0,0,1,1
24,1,3,100509,2,27000,13.49,0.27,2,673,0,0,1,0,0,0,0,0,0,1,0,1
24,1,0,88950,3,27000,11.01,0.3,3,706,0,0,1,0,0,0,0,0,0,0,1,1
23,0,0,75894,1,26000,11.71,0.34,2,536,0,0,1,0,0,0,0,0,1,0,0,1
23,1,1,145092,0,25600,12.69,0.18,3,557,1,0,1,0,0,0,1,0,0,0,0,0
24,0,2,15928,1,1600,13.57,0.1,3,689,1,0,0,0,1,0,0,0,1,0,0,0
22,1,2,73131,3,25475,10.99,0.35,3,681,0,0,1,0,0,0,0,0,0,0,1,1
25,1,3,281501,4,20000,14.27,0.07,4,623,1,0,0,1,0,0,0,0,1,0,0,0
24,0,1,281775,0,20000,8.88,0.07,4,595,1,0,0,0,1,0,0,1,0,0,0,0
26,1,2,281792,1,21600,12.18,0.08,3,584,1,0,0,1,0,0,0,1,0,0,0,0
25,1,2,266090,4,11900,14.42,0.04,3,669,0,0,0,1,0,1,0,0,0,0,0,1
26,1,0,279664,3,25000,14.17,0.09,2,642,1,0,0,1,0,0,0,0,1,0,0,0
25,0,0,277017,4,35000,13.99,0.13,4,622,1,0,0,1,0,0,0,0,1,0,0,0
23,1,1,100756,0,25300,10.99,0.25,3,689,0,0,1,0,0,0,1,0,0,0,0,1
22,1,0,16218,1,2000,5.42,0.12,4,614,0,0,0,1,0,0,0,0,0,1,0,1
25,0,2,16211,2,1750,13.61,0.11,3,597,1,0,0,0,1,0,0,0,0,1,0,0
21,0,2,51922,3,25000,12.73,0.48,3,673,0,0,1,0,0,0,1,0,0,0,0,1
24,1,1,50309,3,25000,11.01,0.5,3,625,0,0,1,0,0,0,0,1,0,0,0,1
25,1,0,16378,0,3000,12.87,0.18,4,603,0,0,0,0,1,1,0,0,0,0,0,1
24,1,2,16572,0,3650,9.91,0.22,3,589,0,0,0,1,0,0,0,1,0,0,0,1
26,1,3,272201,5,20000,11.49,0.07,4,670,1,0,0,1,0,0,0,1,0,0,0,0
25,0,2,271324,3,30000,19.91,0.11,2,637,1,0,0,1,0,0,0,1,0,0,0,0
26,1,1,256862,2,35000,10.65,0.14,2,643,0,0,0,1,0,0,1,0,0,0,0,1
24,1,0,271342,0,6000,11.01,0.02,4,508,1,0,1,0,0,0,0,0,1,0,0,0
24,1,0,16470,2,4500,11.83,0.27,4,643,0,0,0,1,0,1,0,0,0,0,0,1
23,1,0,16599,0,2400,13.49,0.14,2,505,0,0,0,0,1,1,0,0,0,0,0,1
22,1,2,51608,0,25000,14.59,0.48,2,593,0,0,1,0,0,0,0,0,1,0,0,1
26,0,3,58516,6,25000,9.64,0.43,4,686,0,0,1,0,0,0,1,0,0,0,0,1
25,0,1,16395,4,3600,14.59,0.22,3,646,0,0,0,0,1,0,0,0,1,0,0,1
22,0,2,16890,0,4750,11.01,0.28,3,645,0,0,0,0,1,0,1,0,0,0,0,1
25,0,1,51747,3,25000,16.35,0.48,3,697,0,0,1,0,0,0,1,0,0,0,0,1
21,1,0,59864,0,25000,10.99,0.42,2,648,0,0,1,0,0,0,1,0,0,0,0,1
25,1,3,270972,1,25000,18.67,0.09,2,640,1,0,0,1,0,0,0,0,0,0,1,0
26,1,2,270870,5,3000,9.32,0.01,4,681,0,0,1,0,0,0,1,0,0,0,0,0
23,0,1,270729,0,7500,8.63,0.03,2,646,0,0,1,0,0,1,0,0,0,0,0,0
26,1,2,270877,4,25000,10.08,0.09,2,615,1,0,0,1,0,0,0,0,0,0,1,0
22,1,1,60501,0,25000,11.83,0.41,3,687,0,0,1,0,0,0,0,0,0,1,0,1
23,1,0,60754,1,25000,7.9,0.41,3,650,0,0,1,0,0,1,0,0,0,0,0,1
25,1,2,60829,0,25000,5.99,0.41,2,588,0,0,1,0,0,0,0,1,0,0,0,1
24,1,2,53825,2,25000,15.33,0.46,2,652,0,0,1,0,0,1,0,0,0,0,0,1
23,1,0,60801,0,25000,11.83,0.41,4,658,0,0,1,0,0,0,0,0,0,0,1,1
22,1,0,60747,0,25000,10.36,0.41,2,634,0,0,1,0,0,0,0,0,0,0,1,1
22,0,0,61029,0,25000,12.23,0.41,3,623,0,0,1,0,0,0,0,0,0,0,1,1
22,0,1,63236,0,25000,11.11,0.4,4,635,0,0,1,0,0,0,1,0,0,0,0,1
23,0,2,17149,0,4950,7.9,0.29,4,531,0,0,0,0,1,1,0,0,0,0,0,1
24,0,3,265066,4,25000,11.58,0.09,2,665,1,0,0,1,0,0,1,0,0,0,0,0
23,1,1,260205,2,21000,8.9,0.08,3,703,0,0,0,1,0,1,0,0,0,0,0,0
25,0,1,260035,5,25000,16.07,0.1,3,585,1,0,0,1,0,0,1,0,0,0,0,0
26,0,2,260444,4,20000,14.22,0.08,2,594,0,0,0,1,0,0,1,0,0,0,0,0
23,1,2,258980,0,35000,14.79,0.14,3,618,1,0,0,1,0,0,0,0,1,0,0,0
26,1,0,259081,2,12000,7.88,0.05,2,626,1,0,0,1,0,0,1,0,0,0,0,0
23,1,0,63497,0,25000,13.22,0.39,2,695,0,0,1,0,0,0,0,0,0,1,0,1
26,0,4,56325,2,25000,11.86,0.44,4,690,0,0,1,0,0,1,0,0,0,0,0,1
22,1,2,64842,0,25000,13.43,0.39,4,574,0,0,1,0,0,0,1,0,0,0,0,1
26,0,0,57856,0,25000,15.28,0.43,2,602,0,0,1,0,0,0,0,1,0,0,0,1
23,1,1,57318,0,25000,17.93,0.44,2,679,0,0,1,0,0,0,0,0,0,0,1,1
23,0,0,16916,2,1400,9.25,0.08,4,615,0,0,0,1,0,0,1,0,0,0,0,0
21,1,3,16664,0,4500,12.98,0.27,4,601,0,0,0,0,1,0,0,0,0,0,1,1
22,1,1,252803,0,16000,10.62,0.06,4,577,1,0,0,1,0,0,0,0,0,0,1,0
26,0,1,253061,3,22000,11.83,0.09,4,588,1,0,0,0,1,0,0,0,0,1,0,0
26,1,2,58602,8,25000,18.43,0.43,2,595,0,0,1,0,0,0,0,0,0,0,1,1
22,1,0,67012,2,25000,11.01,0.37,4,653,0,0,1,0,0,0,1,0,0,0,0,1
24,0,3,66643,3,25000,11.01,0.38,4,663,0,0,1,0,0,0,0,1,0,0,0,1
23,1,2,66599,0,25000,11.36,0.38,3,653,0,0,1,0,0,0,1,0,0,0,0,1
23,1,1,67212,2,25000,15.65,0.37,3,598,0,0,1,0,0,0,1,0,0,0,0,1
24,0,0,66918,1,25000,13.22,0.37,4,630,0,0,1,0,0,0,0,0,0,1,0,1
26,1,1,68066,2,25000,12.87,0.37,2,637,0,0,1,0,0,1,0,0,0,0,0,1
24,1,1,245545,1,20000,13.04,0.08,3,660,1,0,0,0,1,0,0,0,1,0,0,0
23,1,1,229083,0,22000,17.58,0.1,3,639,0,0,0,1,0,0,1,0,0,0,0,1
23,1,0,17859,0,7750,17.04,0.43,4,626,0,0,0,0,1,0,0,0,0,1,0,1
24,0,1,72608,3,25000,10.99,0.34,3,612,0,0,1,0,0,0,0,0,0,1,0,1
24,1,2,73073,1,25000,11.11,0.34,3,628,0,0,1,0,0,0,0,0,0,1,0,1
26,0,3,65880,2,25000,14.83,0.38,2,592,0,0,1,0,0,1,0,0,0,0,0,1
23,1,0,17755,1,4000,11.01,0.23,3,580,0,0,0,0,1,1,0,0,0,0,0,1
24,1,2,241180,3,12000,12.69,0.05,2,634,0,0,1,0,0,0,0,0,1,0,0,0
24,1,1,240894,3,12000,13.49,0.05,2,678,0,0,0,1,0,0,0,1,0,0,0,0
21,1,0,240980,0,16000,14.65,0.07,4,557,1,0,0,1,0,0,1,0,0,0,0,0
25,1,2,65742,3,25000,16.82,0.38,4,672,0,0,1,0,0,0,0,1,0,0,0,1
23,1,2,72713,0,25000,12.73,0.34,3,613,0,0,1,0,0,0,0,0,0,1,0,1
23,1,0,72627,3,25000,10.25,0.34,4,566,0,0,1,0,0,0,0,0,0,1,0,1
21,1,1,72843,0,25000,10.99,0.34,4,718,0,0,1,0,0,0,1,0,0,0,0,1
25,1,0,75504,4,25000,12.73,0.33,2,484,0,0,1,0,0,0,0,0,1,0,0,1
22,0,0,68824,0,25000,14.96,0.36,3,634,0,0,1,0,0,0,0,1,0,0,0,1
23,0,2,241167,2,28000,11.01,0.12,2,653,1,0,0,1,0,0,1,0,0,0,0,0
21,1,2,241060,0,25000,13.99,0.1,2,699,0,0,0,1,0,1,0,0,0,0,0,0
24,1,0,240855,0,24000,7.49,0.1,4,656,1,0,0,1,0,0,0,0,0,0,1,0
26,1,0,241030,3,15000,14.79,0.06,3,626,1,0,0,1,0,0,1,0,0,0,0,0
25,1,0,240895,2,15500,11.99,0.06,2,659,0,0,0,1,0,1,0,0,0,0,0,0
24,0,0,240932,4,10000,8.49,0.04,4,604,1,0,1,0,0,0,1,0,0,0,0,0
24,1,1,80145,1,25000,9.91,0.31,2,636,0,0,1,0,0,0,1,0,0,0,0,1
22,1,3,80303,0,25000,13.06,0.31,3,554,0,0,1,0,0,0,1,0,0,0,0,1
22,1,0,241048,0,9000,6.17,0.04,4,587,1,0,0,1,0,1,0,0,0,0,0,0
144,1,1,241424,121,6000,11.86,0.02,2,807,0,0,0,1,0,0,1,0,0,0,0,0
25,1,2,241005,4,18000,16.32,0.07,3,708,1,0,1,0,0,0,1,0,0,0,0,0
25,0,3,240768,2,12000,10.38,0.05,2,669,1,0,0,1,0,0,0,0,0,0,1,0
25,1,1,241201,2,23050,14.35,0.1,3,578,0,0,0,1,0,0,0,0,0,1,0,0
24,1,2,240920,5,20000,11.01,0.08,3,615,0,0,0,1,0,1,0,0,0,0,0,0
24,0,3,72919,1,25000,11.01,0.34,2,553,0,0,1,0,0,1,0,0,0,0,0,1
21,1,3,18008,0,3000,11.01,0.17,4,635,0,0,0,0,1,0,0,1,0,0,0,1
26,0,1,81238,3,25000,15.21,0.31,2,531,0,0,1,0,0,0,0,0,0,1,0,1
23,1,0,80868,1,25000,7.9,0.31,4,621,0,0,1,0,0,0,1,0,0,0,0,1
24,1,2,81537,1,25000,10.99,0.31,3,674,0,0,1,0,0,0,0,0,0,0,1,1
24,0,1,82741,0,25000,14.09,0.3,3,688,0,0,1,0,0,0,0,0,0,1,0,1
25,0,0,83901,3,25000,17.49,0.3,2,597,0,0,1,0,0,0,0,0,0,1,0,1
25,1,1,240717,1,12000,11.48,0.05,3,640,0,0,0,1,0,0,1,0,0,0,0,0
26,0,1,226744,0,20000,17.74,0.09,2,621,0,0,0,1,0,0,0,0,0,0,1,1
26,0,2,241114,5,3000,13.92,0.01,3,608,1,0,0,1,0,0,0,0,0,1,0,0
25,1,2,85284,3,25000,15.21,0.29,3,653,0,0,1,0,0,0,1,0,0,0,0,1
22,0,2,18152,0,4000,10.99,0.22,3,585,0,0,0,0,1,0,0,0,1,0,0,1
24,0,0,84871,3,25000,11.86,0.29,4,569,0,0,1,0,0,0,1,0,0,0,0,1
24,1,2,18294,2,6000,7.49,0.33,3,587,0,0,0,0,1,0,0,0,0,1,0,1
24,1,2,68029,1,25000,16.49,0.37,4,631,0,0,1,0,0,0,0,0,1,0,0,1
25,0,0,80001,4,25000,15.33,0.31,2,592,0,0,1,0,0,0,0,0,0,0,1,1
26,0,0,79875,6,25000,11.58,0.31,4,679,0,0,1,0,0,0,0,1,0,0,0,1
25,1,0,18449,1,5375,5.79,0.29,2,645,0,0,0,0,1,0,1,0,0,0,0,1
25,1,1,88153,0,25000,13.11,0.28,2,669,0,0,1,0,0,0,0,0,1,0,0,1
23,0,2,90109,0,25000,10.36,0.28,3,653,0,0,1,0,0,0,0,0,1,0,0,1
25,1,2,90938,1,25000,10.36,0.27,2,577,0,0,1,0,0,1,0,0,0,0,0,1
24,1,0,231335,0,22000,11.01,0.1,2,668,1,0,1,0,0,0,0,0,1,0,0,0
21,1,2,231829,0,20000,6.54,0.09,4,629,0,0,0,1,0,0,0,0,0,0,1,0
25,0,1,230516,4,10000,12.53,0.04,4,643,0,0,0,1,0,0,0,0,1,0,0,0
26,1,2,229626,0,15000,11.01,0.07,3,626,0,0,0,1,0,0,0,0,0,1,0,0
22,1,2,228907,0,10000,11.01,0.04,3,560,1,0,0,1,0,0,0,0,0,0,1,0
24,1,2,90938,0,25000,10.25,0.27,4,648,0,0,1,0,0,0,1,0,0,0,0,1
22,1,1,86284,0,25000,15.95,0.29,4,648,0,0,1,0,0,0,1,0,0,0,0,1
26,1,1,228774,3,20000,12.18,0.09,4,669,1,0,0,1,0,0,0,0,0,0,1,0
23,1,0,229027,2,24000,11.83,0.1,3,536,1,0,0,0,1,0,0,0,0,1,0,0
23,1,0,94789,1,25000,11.01,0.26,2,548,0,0,1,0,0,1,0,0,0,0,0,1
23,0,3,94780,0,25000,10.62,0.26,3,667,0,0,1,0,0,0,0,0,0,0,1,1
23,1,0,95298,0,25000,10.74,0.26,3,676,0,0,1,0,0,0,0,0,0,0,1,1
25,1,1,223944,1,10000,10.25,0.04,4,570,1,0,0,0,1,0,0,0,0,0,1,0
24,1,0,222629,0,35000,12.42,0.16,2,623,0,0,0,1,0,0,1,0,0,0,0,0
25,0,2,222973,2,15000,15.27,0.07,2,652,1,0,1,0,0,0,0,0,0,0,1,0
24,0,0,75240,1,25000,15.33,0.33,2,625,0,0,1,0,0,0,0,0,1,0,0,1
23,0,0,96143,1,25000,15.21,0.26,2,642,0,0,1,0,0,0,0,0,0,0,1,1
21,1,2,18064,0,6250,14.72,0.35,2,580,0,0,0,0,1,0,0,0,0,0,1,1
24,1,1,96627,2,25000,15.7,0.26,2,622,0,0,1,0,0,0,0,0,0,1,0,1
24,1,2,96309,3,25000,13.35,0.26,4,581,0,0,1,0,0,0,1,0,0,0,0,1
21,0,0,18421,1,1500,11.01,0.08,4,623,0,0,0,1,0,0,0,0,1,0,0,0
24,1,3,96836,1,25000,6.62,0.26,2,583,0,0,1,0,0,0,1,0,0,0,0,1
26,1,2,96947,4,25000,13.61,0.26,4,645,0,0,1,0,0,1,0,0,0,0,0,1
22,0,1,222975,2,25000,11.36,0.11,2,593,1,0,1,0,0,0,0,0,1,0,0,0
26,1,1,222985,3,5000,7.68,0.02,2,659,1,0,0,0,1,0,0,0,0,1,0,0
24,0,2,223064,0,22000,14.46,0.1,4,655,1,0,1,0,0,0,0,1,0,0,0,0
23,1,1,221559,2,2500,11.83,0.01,2,583,1,0,0,0,1,0,1,0,0,0,0,0
24,0,1,207712,0,20000,13.47,0.1,4,582,0,0,0,1,0,1,0,0,0,0,0,1
24,0,2,220872,1,20000,11.49,0.09,3,504,1,0,0,1,0,0,0,0,1,0,0,0
22,1,0,220518,0,1000,11.01,0,2,551,1,0,0,1,0,0,1,0,0,0,0,0
25,0,1,220510,1,15000,6.03,0.07,3,529,1,0,0,1,0,0,0,0,0,1,0,0
23,0,2,89818,0,25000,16.35,0.28,4,674,0,0,1,0,0,1,0,0,0,0,0,1
26,0,0,90006,4,25000,11.01,0.28,4,595,0,0,1,0,0,1,0,0,0,0,0,1
25,0,0,98704,6,25000,7.29,0.25,3,597,0,0,1,0,0,1,0,0,0,0,0,1
23,1,0,98967,5,25000,11.36,0.25,3,566,0,0,1,0,0,0,0,0,1,0,0,1
24,1,0,99435,3,25000,10.25,0.25,2,666,0,0,1,0,0,0,0,0,0,0,1,0
24,0,2,100658,1,25000,11.12,0.25,3,695,0,0,1,0,0,0,1,0,0,0,0,0
24,0,2,100435,2,25000,12.92,0.25,3,576,1,0,1,0,0,0,0,0,0,1,0,0
24,1,0,216925,5,18000,18.64,0.08,4,651,1,0,1,0,0,0,1,0,0,0,0,0
23,0,2,216891,0,28000,7.51,0.13,3,633,1,0,0,1,0,0,0,0,0,1,0,0
23,1,3,18512,1,4000,16.7,0.22,2,566,0,0,0,0,1,0,0,1,0,0,0,1
22,1,3,18367,0,2100,11.14,0.11,4,583,0,0,0,0,1,0,0,0,0,1,0,0
22,0,1,102317,0,25000,18.3,0.24,4,586,1,0,1,0,0,0,0,0,0,1,0,0
24,0,1,103400,4,25000,10.62,0.24,4,592,1,0,1,0,0,0,0,0,1,0,0,0
24,1,2,217134,2,14000,11.99,0.06,2,598,1,0,0,1,0,0,0,0,0,0,1,0
26,1,3,217024,1,12000,9.63,0.06,4,637,1,0,0,1,0,0,0,0,0,0,1,0
25,0,0,172215,5,10000,18.25,0.06,4,628,0,0,0,1,0,0,0,0,1,0,0,1
23,1,3,18831,0,6000,11.01,0.32,4,667,0,0,0,1,0,1,0,0,0,0,0,1
24,1,1,105349,5,25000,14.84,0.24,3,621,1,0,1,0,0,0,0,1,0,0,0,0
24,1,2,91184,1,25000,14.7,0.27,3,668,0,0,1,0,0,0,0,0,0,0,1,1
23,0,0,91886,1,25000,16.02,0.27,4,544,0,0,1,0,0,1,0,0,0,0,0,1
23,1,1,80452,2,25000,15.37,0.31,2,699,0,0,1,0,0,0,0,0,1,0,0,1
25,0,2,108758,2,25000,10.99,0.23,4,611,0,0,1,0,0,0,0,0,1,0,0,0
21,1,1,18916,0,6200,7.9,0.33,2,615,0,0,0,0,1,0,0,1,0,0,0,1
26,0,0,217234,5,25000,10.99,0.12,4,559,1,0,0,0,1,0,0,0,0,1,0,0
24,0,0,217017,0,21000,11.48,0.1,3,577,1,0,0,0,1,0,1,0,0,0,0,0
25,1,0,216874,1,20000,14.26,0.09,4,657,1,0,0,0,1,0,0,0,1,0,0,0
26,1,1,216833,5,10000,8,0.05,4,676,1,0,0,0,1,0,0,1,0,0,0,0
25,1,2,216483,0,9950,11.26,0.05,2,601,0,0,0,1,0,0,0,0,0,0,1,0
23,0,3,19000,2,4475,11.01,0.24,4,647,0,0,0,0,1,0,0,0,1,0,0,1
23,0,3,94363,0,25000,16.32,0.26,3,576,0,0,1,0,0,0,0,0,0,0,1,1
25,1,3,80570,3,25000,17.93,0.31,4,612,0,0,1,0,0,0,0,0,1,0,0,1
